Produto,start,end,CAGR
  Outros produtos,418132.0,7459271.0,0.22852641420879305
  Vinagre balsamico,36937.0,338926.0,0.17154839484876505
  Borra líquida,12000.0,72600.0,0.13720738052642378
SUCO DE UVAS,29131455.0,166708720.0,0.1326976775266524
  Vinagre duplo,426804.0,1769130.0,0.10690251994917888
  Espumante  Moscatel,2500230.0,9771698.0,0.10226243085723485
VINHO FRIZANTE,1003596.0,2843600.0,0.07722848137896676
ESPUMANTES ,11242890.0,29381635.0,0.07102561326565615
  Destilado de vinho,100.0,245.0,0.06609910180477296
  Espumante,8742660.0,19609379.0,0.05939663559347519
  Vinagre simples,2996318.0,5047280.0,0.03794990261090647
  Rosado,2521415.0,3735331.0,0.02847033278587685
SUCO DE UVAS CONCENTRADO,31861857.0,37852507.0,0.01238229242189215
OUTROS PRODUTOS COMERCIALIZADOS,26554757.0,29889342.0,0.008485302027757324
  Polpa de uva,1339958.0,1331651.0,-0.0004440973890484923
  Cooler,4561959.0,4321881.0,-0.0038540833383375883
  Tinto,212580590.0,177548145.0,-0.012780438460744725
VINHO DE MESA,234525979.0,187016848.0,-0.01603909989185681
  Nectar de uva,4933019.0,3604413.0,-0.02216441036952088
  Vinho licoroso,591313.0,421974.0,-0.02381203855456726
  Brandy (conhaque),7151.0,4506.0,-0.03245054621488863
VINHO  FINO DE MESA,33080270.0,18589310.0,-0.04033199454979608
  Branco,52504357.0,24322682.0,-0.053480157727630595
  Sangria,192082.0,84157.0,-0.05724193692169399
  Filtrado doce,6533888.0,2366601.0,-0.06997061975452545
  Coquetel com vinho,1354734.0,397156.0,-0.08391405247483419
  Vinho acetificado,808389.0,194020.0,-0.09691124195255008
  Mistelas,7034.0,1668.0,-0.09768808636280424
  Preparado líquido para refresco,467005.0,17178.0,-0.21014657652130997
  Jeropiga,14443.0,346.0,-0.23397279790836578
  Bebida de uva,1279586.0,16780.0,-0.26624410148057465
  Vinho composto,542123.0,981.0,-0.3630399024612888
"  Agrin (fermentado, acetico misto)",6745427.0,0.0,-1.0
  Bagaceira (graspa),21133.0,0.0,-1.0
  Vinho base para espumantes,10649.0,0.0,-1.0
VINHO ESPECIAL,113.0,0.0,-1.0
  Aguardente de vinho 50°gl,0.0,111.0,
  Alcool vinico,0.0,0.0,
  Base champenoise champanha,0.0,66290.0,
  Base charmat champanha,0.0,184040.0,
  Base espumante moscatel,0.0,722984.0,
  Borra seca,0.0,53220.0,
  Espumante Orgânico,0.0,558.0,
  Mosto concentrado,0.0,0.0,
  Mosto de uva,0.0,359626.0,
  Mosto sulfitado,0.0,0.0,
  Outros sucos de uvas,0.0,1825635.0,
  Outros vinhos (sem informação detalhada),0.0,8152.0,
  Refrigerante +50% suco,0.0,501876.0,
  Suco Adoçado,0.0,128599.0,
  Suco Natural Integral,0.0,129419407.0,
  Suco Orgânico,0.0,932154.0,
  Suco Reprocessado/reconstituido,0.0,34402925.0,
  Vinho gaseificado,0.0,410215.0,
  Vinho leve,0.0,132064.0,
VINHO ORGÂNICO,0.0,9123.0,
