País,R2
Anguilla,1.0
Tunísia,1.0
Jamaica,1.0
Líbano,1.0
Namíbia,1.0
"Eslovaca, Republica",1.0
Ilhas Virgens,1.0
Costa do Marfim,1.0
Costa Rica,1.0
Porto Rico,1.0
República Dominicana,1.0
Senegal,1.0
Tanzânia,1.0
Iraque,1.0
Paraguai,0.7446213020451502
Luxemburgo,0.7222818975795902
Curaçao,0.7119735723942096
"Marshall, Ilhas",0.6957291625984141
Países Baixos,0.6819216245259752
Malta,0.6731312449426985
Haiti,0.6438729168534287
"Tcheca, República",0.562023835216489
Antígua e Barbuda,0.5551810104180788
Panamá,0.5299427402235156
Japão,0.5196212022047477
Antilhas Holandesas,0.5098311990863278
Polônia,0.4940574250146189
Gana,0.49171825267289115
"Cayman, Ilhas",0.48389909660327035
Barbados,0.48239222671920545
Serra Leoa,0.48164188451534495
Singapura,0.4732841570700784
Angola,0.47272018077248223
Chipre,0.46769647771753653
"Coreia, Republica Sul",0.45694197900288935
Libéria,0.40034992445804696
São Vicente e Granadinas,0.3972179692884892
Barein,0.38848214608428744
Togo,0.3766066465099548
Nigéria,0.3723390118725468
Uruguai,0.3691830347650191
Colômbia,0.34918285187457
Tailândia,0.33341436457454965
Estônia,0.3185638815334353
Venezuela,0.3110043897822736
Peru,0.2979008753417324
Bélgica,0.2908403130837337
India,0.2845862791771733
Bangladesh,0.2791712104689237
"Alemanha, República Democrática",0.2771826079214962
Rússia,0.2731093841318465
Dinamarca,0.2679502587945015
Indonésia,0.264744312359082
Portugal,0.2628056402874419
Ilha de Man,0.25592930753736676
Canadá,0.2509957100366923
Equador,0.23529862077422936
Guiana,0.23367107774496987
Irã,0.23078517994853043
África do Sul,0.23005719628892296
Montenegro,0.21804532903819684
Croácia,0.21229950174048373
Dominica,0.20733415843381575
Turquia,0.19887493771552012
Grécia,0.1968955969885633
Reino Unido,0.19577554390330487
Suécia,0.18837899771465572
Nicarágua,0.18750000000000588
Macau,0.18750000000000133
Arábia Saudita,0.18750000000000122
Martinica,0.1875000000000011
Malavi,0.1875
Palau,0.1875
El Salvador,0.18749999999999978
Bermudas,0.1874999999999989
São Cristóvão e Névis,0.1874999999999989
Pitcairn,0.18749999999999845
Toquelau,0.18749999999999833
Honduras,0.18749999999999767
Congo,0.18237095633327682
Suíça,0.178619694322115
Finlândia,0.1671391864595274
Guatemala,0.16645660576033205
Vietnã,0.15823732030500082
Guiana Francesa,0.15613967587447464
Estados Unidos,0.15117425654551964
China,0.15059018629919263
Cabo Verde,0.14977924127625653
Brasil,0.1408396576951818
Granada,0.13775510204081787
"Cocos (Keeling), Ilhas",0.13775510204081487
Moçambique,0.13775510204080865
Omã,0.1377551020408082
Austrália,0.13443710822805133
Aruba,0.11688311688311126
Nova Zelândia,0.11448905206252336
Hungria,0.10294566276175932
Suazilândia,0.0956632653061269
Nova Caledônia,0.09566326530612546
Mauritânia,0.09566326530612212
Afeganistão,0.09566326530611868
Trinidade Tobago,0.08054670056657609
Noruega,0.07389878941198058
Itália,0.07317201915456817
Filipinas,0.06895522815953103
Gibraltar,0.06421898151173266
Tuvalu,0.061224489795920434
Bósnia-Herzegovina,0.061224489795919323
Jordânia,0.06122448979591588
Vanuatu,0.061224489795914105
Comores,0.061224489795914105
Bahamas,0.056581625464891205
Emirados Arabes Unidos,0.05248284151304561
Irlanda,0.05084431473012696
França,0.04830866675721268
Malásia,0.04775153304565394
Quênia,0.039133392948043855
Espanha,0.03468031784318881
Belice,0.03443877551020236
Hong Kong,0.025676740537240228
São Tomé e Príncipe,0.015306122448979775
Argentina,0.007867398459491803
Bulgária,0.006066390324167781
Letônia,0.005026770303048211
México,0.0044215358235003555
Catar,0.003849763028696218
Guine Bissau,0.003826530612245471
Camarões,0.003826530612245027
Cuba,0.003471200618402448
Chile,0.001995727981612072
Guine Equatorial,0.001994674947418451
Taiwan (Formosa),0.0017482850273572437
Bolívia,0.0006799651912003934
Cingapura,0.0003248950335315026
Suriname,2.8544219806692084e-05
Áustria,1.0897330597781085e-05
Benin,1.0984519493995037e-07
