País,R2
Iugoslávia,1.0
Não declarados,1.0
Não consta na tabela,1.0
"Coreia do Sul, República",1.0
Outros,1.0
Chile,0.9529588667263416
Uruguai,0.9008311476159925
Portugal,0.8259958180662419
Espanha,0.7804507986439136
Eslovênia,0.5993906798971491
Argentina,0.5875226423946431
Israel,0.5390913079943791
França,0.46790045808075176
Romênia,0.45106693195046654
Nova Zelândia,0.3522195279383269
Armênia,0.3331269201672933
Peru,0.31958068881177093
Itália,0.2884138537835981
Moldávia,0.2777571407229169
Porto Rico,0.25605029608009955
"Geórgia do Sul e Sandwich do Sul, Ilhas",0.24825538799595492
Marrocos,0.2448232774530753
Bermudas,0.2340742038854826
Japão,0.23378066392132113
"Tcheca, República",0.22992552763021146
Síria,0.21423333308992454
Tunísia,0.21181607333772567
Bulgária,0.21074061433272562
Montenegro,0.19464555064052969
Macedônia,0.19420337672226673
Suíça,0.19217238523735658
Suazilândia,0.18750000000000133
Bolívia,0.1875
Cuba,0.1874999999999989
Grécia,0.1868421696774457
Croácia,0.1697349332582876
Brasil,0.13833688949462508
Austrália,0.12974107257458334
México,0.12862875323145084
Arábia Saudita,0.12205929932521298
Países Baixos (Holanda),0.10806955538808083
Rússia,0.10013408973933635
San Marino,0.09566326530612779
Sérvia,0.09566326530612246
Estados Unidos,0.09473447418451597
Hong Kong,0.061224489795921766
Bósnia-Herzegovina,0.061224489795920434
Alemanha,0.05377386533625095
Irlanda,0.05286243413120262
China,0.04958362054285348
Geórgia,0.04393406080953677
Indonésia,0.04150018528050248
Panamá,0.03443877551019925
Turquia,0.030985257430229618
Áustria,0.028930483540134055
Canada,0.026502041955282385
Líbano,0.024458147708976585
Africa do Sul,0.0215655452294492
Hungria,0.020329686558933746
Eslováquia,0.01080781996784863
Luxemburgo,0.008047690014902908
Bélgica,0.004286214013606404
Ucrânia,0.0040228566862891
Reino Unido,0.002365088837707141
Republica Dominicana,0.001334646042393084
Emirados Árabes Unidos,0.0004489307184021296
Noruega,4.3749169826412526e-05
Argélia,0.0
