id,control,Produto,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,VINHO DE MESA,VINHO DE MESA,234525979,221242945,230310468,206969571,221590810,206404427,209198468,166769622,176059959,177186273,180446489,215557931,210012238,187939996,187016848
2,vm_Tinto,  Tinto,193004182,188649074,196562722,173964776,188033494,178250072,182028785,146646365,154309442,155115499,158519218,189573423,185653678,165067340,165097539
3,vm_Rosado,  Rosado,2307580,2036928,1668823,1738134,1777648,1419855,1409002,1391942,1097426,1972944,1265435,1394901,1931606,2213723,2520748
4,vm_Branco,  Branco,39214217,30556943,32078923,31266661,31779668,26734500,25760681,18731315,20653091,20097830,20661836,24589607,22426954,20658933,19398561
5,VINHO  FINO DE MESA,VINHO  FINO DE MESA,33080270,21390159,19967310,22469950,27912934,20424983,20141631,19630158,15874354,14826143,15684588,24310834,27080445,21533487,18589310
6,vm_Tinto,  Tinto,19576295,15184398,14876896,15443016,19121750,15354938,15572632,15228514,12021684,11150517,11433702,18202453,19337862,15258778,12450606
7,vm_Rosado,  Rosado,213835,236802,211484,150806,214269,164219,169185,172351,182080,262430,503524,993248,1603537,1318396,1214583
8,vm_Branco,  Branco,13290140,5968959,4878930,6876128,8576915,4905826,4399814,4229293,3670590,3413196,3747362,5115133,6139046,4956314,4924121
9,VINHO FRIZANTE,VINHO FRIZANTE,1003596,1851136,1706679,1605767,1764851,1893469,1836167,1727386,1586985,1638337,1826433,2557585,3696762,2875864,2843600
10,VINHO ORGÂNICO,VINHO ORGÂNICO,0,0,0,0,0,0,0,0,0,0,2554,10718,18686,14947,9123
11,VINHO ESPECIAL,VINHO ESPECIAL,113,293,699,239,2257,7231,593,331,0,0,0,0,0,0,0
12,ve_Tinto,  Tinto,113,293,699,239,2257,7231,593,331,0,0,0,0,0,0,0
13,ve_Rosado,  Rosado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,ve_Branco,  Branco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ESPUMANTES ,ESPUMANTES ,11242890,12647906,13305275,14889147,15978504,17191075,18897144,16945710,17583283,18218375,22759859,22610762,31242697,29525942,29381635
16,es_Espumante_Moscatel,  Espumante  Moscatel,2500230,2946179,2996441,3610289,3783531,4588465,5010704,4507467,5561181,6526075,8997187,9298571,12240059,12204315,9771698
17,es_Espumante,  Espumante,8742660,9701727,10308834,11278858,12194973,12602610,13886440,12438243,12022102,11692300,13762361,13311450,19001999,17321031,19609379
18,es_Espumante Orgânico,  Espumante Orgânico,0,0,0,0,0,0,0,0,0,0,311,742,639,597,558
19,SUCO DE UVAS,SUCO DE UVAS,29131455,35164681,45222136,53832204,75973297,88013377,115288072,92290851,107243326,140472108,147907617,144889668,147753321,157125036,166708720
20,su_Suco_Natural,  Suco Natural Integral,0,0,0,0,0,0,0,0,0,0,131628685,114453657,115173833,115394795,129419407
21,su_Suco_Adoçado,  Suco Adoçado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128599
