Id,País,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Afeganistão,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
2,África do Sul,0,0,0,0,0,0,0,0,0,0,121,25,0,0,815
3,"Alemanha, República Democrática",618568,166381,180220,64531,327677,975001,55460,82121,103169,56176,29127,38866,9439,52997,36659
4,Angola,139021,223448,82890,11694,10873,35306,18997,42749,71850,1186,1410,0,0,8829,0
5,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Antígua e Barbuda,0,0,0,0,0,0,0,0,0,228,1768,2488,3073,2285,2231
7,Antilhas Holandesas,18886,22618,17523,23328,30846,11624,17205,43091,13950,0,0,0,0,0,0
8,Arábia Saudita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266
9,Argentina,4685,0,68713,0,0,115515,0,0,0,74861,0,5191,19,3712,40678
10,Aruba,0,0,2580,0,0,1205,0,0,0,0,0,0,0,0,0
11,Austrália,10209,19783,44336,65390,118422,50017,55448,15753,8850,8957,5843,4426,4739,13723,16050
12,Áustria,0,0,0,0,0,0,0,5895,0,0,0,0,0,218,0
13,Bahamas,0,15934,33339,13461,5726,0,0,0,0,775,3915,4915,5650,7014,8750
14,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,32,22,91,0
15,Barbados,0,0,0,0,0,0,0,0,0,0,430,312,1060,1365,361
16,Barein,0,0,0,0,0,0,0,0,0,0,2626,36,1196,3768,1967
17,Bélgica,184726,227943,74141,106850,118354,855413,30872,53734,19195,60296,15046,23626,4232,6973,778
18,Belice,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
19,Benin,0,0,0,0,0,0,0,25373,0,0,18,0,0,0,0
20,Bermudas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
21,Bolívia,61192,336,32990,28672,45145,30837,23664,30488,32580,78990,0,25925,14210,81541,58876
22,Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0
23,Brasil,0,0,0,0,0,0,0,0,0,0,0,0,77,3456,0
