País,Coeficiente_Angular,Coeficiente_Linear,Equacao_Linear
Afeganistão,0.8214285714285713,-1652.9333333333332,y = 0.82x + -1652.93
África do Sul,18.767857142857142,-37781.73333333333,y = 18.77x + -37781.73
"Alemanha, República Democrática",-21372.65357142857,43230488.06666667,y = -21372.65x + 43230488.07
Angola,-7520.778571428572,15195563.333333334,y = -7520.78x + 15195563.33
Anguilla,0.0,0.0,y = 0.00x + 0.00
Antígua e Barbuda,171.275,-344651.3333333334,y = 171.28x + -344651.33
Antilhas Holandesas,-1191.775,2410618.866666667,y = -1191.78x + 2410618.87
Arábia Saudita,3.5499999999999994,-7147.333333333332,y = 3.55x + -7147.33
Argentina,-327.96071428571406,678356.5999999996,y = -327.96x + 678356.60
Aruba,-35.39285714285714,71514.33333333331,y = -35.39x + 71514.33
Austrália,-2865.9928571428563,5803410.466666665,y = -2865.99x + 5803410.47
Áustria,4.542857142857139,-8796.26666666666,y = 4.54x + -8796.27
Bahamas,-533.8999999999999,1081944.3999999997,y = -533.90x + 1081944.40
Bangladesh,2.5714285714285707,-5175.133333333331,y = 2.57x + -5175.13
Barbados,53.81785714285712,-108306.46666666663,y = 53.82x + -108306.47
Barein,141.2,-284156.6,y = 141.20x + -284156.60
Bélgica,-12924.15,26147282.4,y = -12924.15x + 26147282.40
Belice,0.3107142857142856,-624.4666666666665,y = 0.31x + -624.47
Benin,0.09642857142855782,1161.7333333333609,y = 0.10x + 1161.73
Bermudas,3.8249999999999997,-7701.0,y = 3.82x + -7701.00
Bolívia,1263.8321428571428,-2526347.066666667,y = 1263.83x + -2526347.07
Bósnia-Herzegovina,0.7428571428571428,-1494.1333333333332,y = 0.74x + -1494.13
Brasil,21.221428571428568,-42715.86666666666,y = 21.22x + -42715.87
Bulgária,6.30357142857143,-12600.666666666668,y = 6.30x + -12600.67
Cabo Verde,-1070.0178571428569,2160513.5333333327,y = -1070.02x + 2160513.53
Camarões,29.24285714285714,-58443.33333333332,y = 29.24x + -58443.33
Canadá,-8385.560714285713,16975898.4,y = -8385.56x + 16975898.40
Catar,291.9357142857142,-583100.6666666665,y = 291.94x + -583100.67
"Cayman, Ilhas",100.11428571428571,-201524.13333333333,y = 100.11x + -201524.13
Chile,150.97142857142856,-299649.39999999997,y = 150.97x + -299649.40
China,-5271.532142857144,10954321.800000003,y = -5271.53x + 10954321.80
Chipre,371.3999999999999,-747336.3333333331,y = 371.40x + -747336.33
Cingapura,-84.68214285714289,176446.60000000006,y = -84.68x + 176446.60
"Cocos (Keeling), Ilhas",1.2857142857142856,-2587.9999999999995,y = 1.29x + -2588.00
Colômbia,1271.8892857142857,-2558177.0666666664,y = 1271.89x + -2558177.07
Comores,0.35714285714285715,-718.3333333333334,y = 0.36x + -718.33
Congo,654.8214285714286,-1318308.6666666667,y = 654.82x + -1318308.67
"Coreia, Republica Sul",20.610714285714284,-41465.6,y = 20.61x + -41465.60
Costa do Marfim,0.0,0.0,y = 0.00x + 0.00
Costa Rica,0.0,0.0,y = 0.00x + 0.00
Croácia,12.128571428571426,-24410.73333333333,y = 12.13x + -24410.73
Cuba,-486.8785714285712,1001854.6666666663,y = -486.88x + 1001854.67
Curaçao,5510.07857142857,-11084219.066666665,y = 5510.08x + -11084219.07
Dinamarca,-4734.7642857142855,9570280.2,y = -4734.76x + 9570280.20
Dominica,58.95714285714284,-118667.1333333333,y = 58.96x + -118667.13
El Salvador,-2.5,5046.666666666667,y = -2.50x + 5046.67
Emirados Arabes Unidos,1896.9642857142856,-3814992.866666666,y = 1896.96x + -3814992.87
Equador,168.96071428571426,-340062.8666666666,y = 168.96x + -340062.87
"Eslovaca, Republica",0.0,0.0,y = 0.00x + 0.00
Espanha,-40425.84999999999,81752239.53333332,y = -40425.85x + 81752239.53
Estados Unidos,-14936.317857142854,30732220.19999999,y = -14936.32x + 30732220.20
Estônia,-1516.0642857142857,3061792.2666666666,y = -1516.06x + 3061792.27
Filipinas,374.92142857142863,-753726.2000000001,y = 374.92x + -753726.20
Finlândia,-5582.124999999999,11289393.533333331,y = -5582.12x + 11289393.53
França,-1439.667857142857,2949542.4666666663,y = -1439.67x + 2949542.47
Gana,2654.4892857142854,-5341882.933333333,y = 2654.49x + -5341882.93
Gibraltar,41.85357142857142,-84179.93333333332,y = 41.85x + -84179.93
Granada,169.5857142857143,-341357.2,y = 169.59x + -341357.20
Grécia,471.19285714285706,-947960.1333333332,y = 471.19x + -947960.13
Guatemala,821.1535714285716,-1652315.8000000003,y = 821.15x + -1652315.80
Guiana,2431.732142857143,-4895131.666666668,y = 2431.73x + -4895131.67
Guiana Francesa,0.9571428571428572,-1926.2666666666669,y = 0.96x + -1926.27
Guine Bissau,0.32142857142857145,-642.0,y = 0.32x + -642.00
