País,total
Rússia,32822141
Paraguai,30803247
Estados Unidos,3349299
China,2574686
Haiti,2351228
Espanha,1990238
Reino Unido,1150780
Uruguai,1118688
Japão,972341
Países Baixos,897986
"Alemanha, República Democrática",648115
Bélgica,399239
Portugal,384238
França,308740
Cuba,271044
Bolívia,222368
Curaçao,216254
Venezuela,196545
Canadá,186081
Nigéria,164881
Hong Kong,162957
Angola,143147
Polônia,134483
Suíça,101010
Gana,91247
Finlândia,86768
Dinamarca,79320
Antilhas Holandesas,79064
Panamá,75780
Peru,71945
Suécia,71551
Taiwan (Formosa),70284
Libéria,66737
Austrália,58413
Argentina,55557
Luxemburgo,53516
"Tcheca, República",49799
Serra Leoa,47084
Colômbia,44336
Guiana,40284
"Marshall, Ilhas",37770
Noruega,35216
Togo,33757
Turquia,29340
Suriname,29306
Itália,28519
Cingapura,26334
Estônia,25957
Chile,23214
Guatemala,22300
Malta,20783
Guine Equatorial,20136
Congo,17460
Irlanda,17120
Emirados Arabes Unidos,16292
Bahamas,15449
Nova Zelândia,14368
Filipinas,14316
Catar,13344
Singapura,12767
Cabo Verde,12625
Grécia,10774
Vietnã,9871
Quênia,8311
Chipre,7329
Nova Caledônia,7227
Equador,6707
México,6329
Granada,5610
Benin,5049
Malavi,3660
Tailândia,2625
Brasil,2535
Antígua e Barbuda,2487
São Tomé e Príncipe,2184
Barein,2054
Dominica,1945
Camarões,1749
Ilha de Man,1729
Aruba,1350
Trinidade Tobago,891
"Cayman, Ilhas",863
Gibraltar,792
Áustria,681
Barbados,673
Hungria,627
"Coreia, Republica Sul",470
Letônia,395
Moçambique,383
India,378
Omã,194
Irã,184
África do Sul,147
Arábia Saudita,124
Bulgária,122
Guiana Francesa,112
São Vicente e Granadinas,67
Malásia,63
Croácia,55
El Salvador,55
Guine Bissau,48
Bósnia-Herzegovina,45
Palau,45
Montenegro,32
"Cocos (Keeling), Ilhas",26
Nicarágua,24
Vanuatu,18
Bermudas,16
São Cristóvão e Névis,16
Honduras,14
Indonésia,14
Jordânia,12
Bangladesh,12
Pitcairn,11
Afeganistão,11
Suazilândia,10
Mauritânia,9
Belice,9
Comores,9
Martinica,9
Macau,7
Toquelau,3
Tuvalu,2
Anguilla,0
Iraque,0
Costa Rica,0
Ilhas Virgens,0
"Eslovaca, Republica",0
Costa do Marfim,0
Namíbia,0
Jamaica,0
Líbano,0
Senegal,0
República Dominicana,0
Porto Rico,0
Tunísia,0
Tanzânia,0
