Id,País,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Afeganistão,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
2,África do Sul,0,0,0,0,0,0,0,0,0,0,95,21,0,0,698
3,"Alemanha, República Democrática",393482,138666,144150,56342,265978,761653,44780,68109,87702,45382,25467,32605,6741,45367,31853
4,Angola,84235,189891,69001,8861,9300,23124,17089,35390,61680,709,1065,0,0,4761,0
5,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Antígua e Barbuda,0,0,0,0,0,0,0,0,0,191,1549,1864,2268,1866,1848
7,Antilhas Holandesas,10651,12808,10188,14081,19565,7169,10545,26450,8550,0,0,0,0,0,0
8,Arábia Saudita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
9,Argentina,4523,0,55460,0,0,95130,0,0,0,59150,0,4176,13,3232,36133
10,Aruba,0,0,1680,0,0,755,0,0,0,0,0,0,0,0,0
11,Austrália,9195,17960,40704,56045,101715,43709,48011,13799,7500,6902,4682,3413,4034,12299,13565
12,Áustria,0,0,0,0,0,0,0,5220,0,0,0,0,0,212,0
13,Bahamas,0,12759,28810,12087,5145,0,0,0,0,634,3124,3703,4567,5799,7402
14,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,29,20,84,0
15,Barbados,0,0,0,0,0,0,0,0,0,0,394,169,844,1145,303
16,Barein,0,0,0,0,0,0,0,0,0,0,2144,28,894,2789,1684
17,Bélgica,58764,185411,62339,90718,95893,704093,26399,46534,16405,52799,12548,20460,3749,6145,683
18,Belice,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
19,Benin,0,0,0,0,0,0,0,20333,0,0,9,0,0,0,0
20,Bermudas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
21,Bolívia,20729,282,20215,16804,25998,18303,12990,16902,23085,57424,0,16025,8360,49011,36950
22,Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
23,Brasil,0,0,0,0,0,0,0,0,0,0,0,0,46,952,0
24,Bulgária,0,0,0,0,0,0,0,0,1579,0,0,0,0,31,0
25,Cabo Verde,0,49366,825,0,0,0,0,0,0,48,0,0,124,0,0
26,Camarões,0,0,0,0,0,0,0,0,7476,0,0,178,0,0,0
27,Canadá,73445,0,128076,146035,174643,226875,118394,71096,30658,20414,6933,8431,6157,5784,42179
28,Catar,0,0,0,0,0,0,0,0,81606,0,0,0,2,0,18
29,"Cayman, Ilhas",0,0,0,0,0,0,0,0,0,203,106,339,356,958,2632
30,Chile,4297,0,0,15438,0,0,0,0,0,42832,0,13,6,7986,63
31,China,482400,2358,334867,642177,279956,455340,222866,499622,266086,126336,376828,363000,264116,404647,183096
32,Chipre,0,0,0,0,0,0,0,0,0,480,1843,6785,4530,4458,2995
33,Cingapura,6110,5504,3317,5310,5779,3887,2774,13199,0,11616,19099,9316,0,0,0
34,"Cocos (Keeling), Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
35,Colômbia,0,0,0,0,30,0,0,0,0,26273,1999,23780,21867,14068,1259
36,Comores,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
37,Congo,0,0,570,0,0,0,0,0,0,0,0,0,0,0,26600
38,"Coreia, Republica Sul",0,0,0,0,0,0,0,20,0,109,194,433,100,257,171
39,Costa do Marfim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Croácia,0,0,0,0,0,0,0,0,0,0,0,123,0,484,0
42,Cuba,0,0,4899,0,0,43200,108864,69830,72229,5584,0,0,0,6,0
43,Curaçao,0,0,0,0,0,0,0,0,23011,43676,62067,65986,58993,66950,40807
44,Dinamarca,21780,69161,83057,23802,101915,16871,29306,8171,2829,0,306,1962,504,6,15261
45,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,634,2223,0
46,El Salvador,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Emirados Arabes Unidos,4032,3206,6594,3300,0,3381,3740,2760,3302,1762,2202,2279,10522,85465,6762
48,Equador,0,0,0,0,0,0,0,0,0,0,3,3824,0,210,4392
49,"Eslovaca, Republica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Espanha,4050,0,24618,0,3748940,0,0,0,0,22631,1353,126,0,0,4171
51,Estados Unidos,660066,478630,1030254,303986,786556,494216,524109,687411,1523699,512519,616274,610793,203554,447893,429091
52,Estônia,10802,40778,5336,19384,0,0,0,4800,0,0,0,0,0,0,0
53,Filipinas,0,0,0,0,0,0,0,0,0,16205,2486,1548,10368,790,334
54,Finlândia,0,0,50394,67959,283114,94962,0,41003,0,0,0,0,0,0,11
55,França,0,18904,0,185791,42256,167807,4749,30055,21654,48677,67072,57144,23742,25008,14722
56,Gana,0,0,0,0,0,0,0,0,0,13502,10010,22027,19196,49304,29473
57,Gibraltar,0,0,0,0,0,0,0,0,0,0,93,2860,0,0,0
58,Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,7914,0
59,Grécia,0,0,0,0,0,0,0,0,0,730,1994,18092,3014,2426,3214
60,Guatemala,20,0,0,0,0,0,0,0,0,0,8719,0,29100,5350,3758
61,Guiana,0,3654,0,0,0,0,0,0,0,0,1311,2577,6525,5823,88715
62,Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,32,18,0
63,Guine Bissau,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
64,Guine Equatorial,272,1015,1979,2530,5336,11983,0,0,30563,26808,0,0,0,0,0
65,Haiti,5863,3750,0,0,0,0,0,0,0,144425,129803,471152,831181,741014,871661
66,Honduras,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Hong Kong,27188,0,7975,7653,61224,63534,7837,86199,8180,9029,42020,41987,39390,38218,71025
68,Hungria,0,4103,0,0,0,0,0,0,0,0,0,0,583,0,0
69,Ilha de Man,0,0,0,0,0,0,0,0,0,0,175,121,445,641,4533
70,Ilhas Virgens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,India,0,0,0,0,0,0,0,0,0,0,273,10,86,1021,170
72,Indonésia,0,0,0,0,0,0,0,0,0,0,0,6,0,0,30
73,Irã,0,0,0,0,0,0,0,0,0,0,0,35,287,90,0
74,Iraque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Irlanda,0,42795,35690,0,0,0,0,0,0,25767,0,257,208,0,377
76,Itália,5251,4828,80298,5622,11967,2492,0,3465,2248,13260,1625,376,3715,6151,27665
77,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Japão,283436,74628,144662,116961,429088,401774,87853,90954,92886,112342,99642,92674,90275,82208,57780
79,Jordânia,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
80,Letônia,0,0,0,0,0,0,0,0,3723,0,0,0,0,0,8
81,Líbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Libéria,0,0,0,0,0,0,0,0,0,3100,20068,17624,23060,34815,42463
83,Luxemburgo,42124,32549,65592,16547,29474,52400,17358,21426,21947,11053,11211,5110,0,802,7048
84,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
85,Malásia,0,0,0,0,0,0,0,0,0,33,110,0,0,0,0
86,Malavi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6252
87,Malta,0,0,0,0,0,0,0,0,0,1192,8828,9688,15454,15587,24199
88,"Marshall, Ilhas",0,0,0,0,0,0,0,0,0,2436,15786,19639,22561,27178,31691
89,Martinica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
90,Mauritânia,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0
91,México,0,0,7200,0,0,24336,0,0,2292,9744,4,226,2,33,19
92,Moçambique,0,0,0,0,0,0,0,0,0,0,0,0,0,1927,0
93,Montenegro,0,0,0,0,0,0,0,0,0,0,46,20,65,0,0
94,Namíbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Nicarágua,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nigéria,115,0,210,10196,2245,0,0,0,0,6250,38555,26514,113172,50283,16464
97,Noruega,0,0,78688,31515,19008,50464,6021,0,0,9847,3139,15134,8320,40316,4243
98,Nova Caledônia,0,0,0,0,0,0,0,0,0,0,0,0,11924,0,0
99,Nova Zelândia,0,0,7992,8817,4092,13675,3476,9472,8140,5565,2832,515,10477,156,7177
100,Omã,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0
101,Países Baixos,136991,302182,395356,539641,255690,773767,186464,190203,0,32395,148031,1532,8484,37240,4958
102,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
103,Panamá,30,0,0,2262,0,0,0,0,0,3117,29017,28372,48444,49392,68173
104,Paraguai,392087,449197,276281,428279,680828,908028,741370,1655417,4274650,5494321,3826587,3869243,7192362,7156293,5517263
105,Peru,0,0,0,0,0,0,0,0,0,19372,17310,0,17107,0,84282
106,Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
107,Polônia,35797,95198,50684,89158,90960,107957,42781,35402,0,4679,11,86,14,0,590
108,Porto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Portugal,168923,18970,1031,47022,17627,79141,42586,0,0,0,72413,34518,42633,7613,46311
110,Quênia,0,0,0,458,4,0,0,0,0,31225,0,0,0,2080,0
111,Reino Unido,68788,295690,285642,334856,305005,1373747,308407,536681,242883,296827,164592,82722,122394,138154,84547
112,República Dominicana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Rússia,5732280,0,0,2103968,14795694,61440,18240,0,0,0,0,8550,312926,118618,0
114,São Cristóvão e Névis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
115,São Tomé e Príncipe,0,0,0,0,0,0,0,0,0,2357,0,0,0,0,0
116,São Vicente e Granadinas,0,0,0,0,0,0,0,0,0,0,0,0,48,51,139
117,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Serra Leoa,0,0,0,0,0,0,0,0,0,0,717,13050,12955,15182,38548
119,Singapura,0,0,0,0,0,0,0,0,0,0,0,0,14346,15434,19781
120,Suazilândia,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
121,Suécia,52826,0,14476,17280,20183,51057,6404,1214,64953,34563,761,24,74,18,0
122,Suíça,81319,21600,0,47240,29785,231762,85790,33340,74816,0,28503,27930,6999,20863,28763
123,Suriname,12918,1269,3735,1288,2960,19,713,1375,5638,0,4741,5277,1472,3360,5235
124,Tailândia,0,0,0,0,0,0,0,0,0,45,832,1753,2529,1713,1387
125,Taiwan (Formosa),0,0,10600,0,0,67907,23940,80379,43954,18421,67,4673,8153,277,19998
126,Tanzânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,"Tcheca, República",43902,5285,37271,27789,23549,35005,15304,28473,16947,20980,16391,4805,5988,9997,3348
128,Togo,0,0,0,0,0,0,0,0,0,0,0,0,2012,25608,25235
129,Toquelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
130,Trinidade Tobago,0,0,0,2720,0,1600,0,0,0,0,0,0,0,0,0
131,Tunísia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Turquia,0,0,0,0,0,0,0,0,0,150,209,0,878,503,95421
133,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
134,Uruguai,0,2929,4404,3879,13343,0,0,0,0,29617,18497,0,149842,997367,454271
135,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
136,Venezuela,0,0,0,7492,0,232,0,0,2646,355,0,9808,35944,32351,220512
137,Vietnã,2143,9977,0,0,0,0,0,0,0,0,32,584,0,277,128
