Id,País,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Africa do Sul,493093,966276,507509,722327,475331,722715,743335,578829,1138732,1127053,1092042,627150,859169,738116,522733
2,Alemanha,56075,192661,198025,113243,114866,115804,95171,158386,83289,142971,101055,136992,106541,92600,102456
3,Argélia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arábia Saudita,0,0,0,0,0,0,0,0,0,563,0,0,2510,0,8
5,Argentina,13902750,16965266,16673491,14613839,12732815,13437321,12465041,14098009,15461740,15221318,16548931,22610267,26869241,27980574,25276991
6,Armênia,0,0,0,0,0,0,0,0,0,0,0,0,0,2385,3542
7,Austrália,270908,405271,824440,615334,553190,236742,395030,498515,354641,3518,16292,212595,366875,579279,432829
8,Áustria,1895,2329,6357,8098,56849,2770,360,1485,2655,513995,348289,6540,13427,7403,16832
9,Bermudas,0,0,0,0,0,0,0,0,0,0,0,0,10,1,6
10,Bélgica,0,0,0,0,0,0,0,7,4376,163,7,0,0,0,0
11,Bolívia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170
12,Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,1218,0,0,0
13,Brasil,0,7,93,1051,473,449,1359,183,845617,18040,29295,4347,12602,1,6229
14,Bulgária,0,20997,1097,0,5947,15019,17244,17777,35284,16166,10944,23110,34185,29929,40281
15,Canada,0,0,2322,0,0,1530,0,0,0,301,0,0,0,884,14
16,Chile,22476643,26434744,26642889,30258795,28288212,35479279,36686870,43400991,51787643,51104825,52697108,72726186,69617587,68881232,62358765
17,China,0,0,0,0,0,0,0,108,1000,5,317,0,0,0,0
18,"Coreia do Sul, República",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Croácia,0,0,450,630,0,0,2069,0,0,0,450,0,17343,887,1107
20,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
21,Emirados Árabes Unidos,0,0,0,0,0,35,529,2175,0,0,0,0,0,0,0
22,Eslovênia,0,0,3600,433,2192,4190,4640,14366,0,20976,30968,11392,42944,31509,28806
23,Eslováquia,0,0,0,0,0,0,0,1305,21424,10800,459,0,0,0,0
24,Espanha,1119540,1622100,1999970,2540209,2772104,2760797,3024533,3948614,7240535,5595268,5797980,7169384,8793911,6487047,6591628
25,Estados Unidos,85393,194774,369806,379329,518888,788773,775131,725420,1372347,548655,534870,366584,506405,393211,244276
26,França,2372448,2799118,3329437,3181440,3265362,3592782,3617130,3831566,5921728,4653789,5324383,5658139,6241310,4911903,4899631
27,Geórgia,0,0,0,0,33750,0,0,0,0,8164,21748,20274,19188,12506,17173
28,"Geórgia do Sul e Sandwich do Sul, Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,1838,1788,0
29,Grécia,52474,42449,82207,68966,13241,24244,55680,6568,40775,41601,21251,61181,13619,45440,45889
30,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0
31,Hungria,12632,15193,15073,10404,10911,18733,5117,8315,23813,23742,34591,5254,20174,29260,41905
32,Indonésia,0,0,0,0,0,0,0,0,0,36,258,0,0,0,0
33,Irlanda,0,0,0,0,0,0,0,0,0,107,179,0,0,0,0
34,Israel,8924,15782,16382,8439,24622,7734,19028,12548,37302,40354,52237,38239,60281,19589,48772
35,Itália,8387908,11911190,12025827,10506144,8308831,8566756,8261383,7936409,11538990,10154564,10323254,9659999,11231625,9622119,8868133
36,Japão,0,0,0,0,0,0,0,0,0,0,153,0,0,0,86
37,Iugoslávia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Líbano,5310,15741,17685,5805,6588,47610,6480,10665,12737,19742,21836,12384,24194,30149,14328
39,Luxemburgo,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
40,Macedônia,0,0,0,0,0,252,0,0,0,0,1323,0,0,0,8522
41,Marrocos,0,0,0,450,0,0,1755,0,0,0,2250,2160,986,13932,603
42,México,0,7004,0,0,0,0,0,0,0,134,646,33,4,0,0
43,Moldávia,0,0,0,0,0,0,0,0,0,0,0,5832,25998,38336,0
44,Montenegro,0,0,0,0,0,0,0,0,0,0,1701,0,0,0,51189
45,Noruega,0,0,0,0,0,0,0,396,5,0,0,0,0,0,0
46,Nova Zelândia,30806,102683,151194,81611,90728,106251,117340,50177,31379,130854,133179,15372,21995,52265,28665
47,Países Baixos (Holanda),0,0,0,0,0,0,0,0,0,283,634,2285,0,0,9
48,Panamá,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
49,Peru,0,33,0,0,0,3201,0,0,0,77,0,0,0,17861,12276
50,Porto Rico,0,0,0,0,0,0,0,0,0,47,21,54,0,0,2021
51,Portugal,5884719,7801759,8556375,9714940,9299080,9735153,9952290,10821232,17345709,17698831,18228699,23627260,25925363,24108787,25099409
52,Reino Unido,10236,621,270,406,127,315,90,5,16,4126,4819,2586,1164,1655,1808
53,Republica Dominicana,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
54,Romênia,0,0,0,33750,0,4163,5950,0,18509,13719,5196,30635,33770,47715,36775
55,Rússia,0,0,0,0,0,0,0,0,0,17483,0,0,32179,0,0
56,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,1095,0,0
57,Sérvia,0,0,0,0,0,0,0,0,0,0,0,0,3471,0,0
58,Síria,0,0,0,0,0,0,0,0,398,0,641,0,484,1094,0
59,Suazilândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320
60,Suíça,4860,2483,0,0,0,0,1125,6,138,559,4510,735,7,0,2109
61,"Tcheca, República",0,0,0,0,0,0,0,0,0,0,0,0,225,4950,0
62,Tunísia,0,0,16420,19913,8000,0,0,0,0,0,0,0,0,0,0
63,Turquia,0,0,0,0,0,0,32247,0,0,1591,0,17563,0,22087,0
64,Ucrânia,0,0,0,0,0,0,0,5319,865,0,4646,0,0,0,0
65,Uruguai,750343,1219387,1264306,1323884,1372329,1237537,1399547,2215692,5009098,2836574,2778244,4079076,3788831,3394161,2905567
66,Não consta na tabela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Não declarados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Outros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
