País,total
Chile,678841769
Argentina,264857594
Portugal,223799606
Itália,147303132
Espanha,67463620
França,63600166
Uruguai,35574576
Africa do Sul,11314410
Estados Unidos,7803862
Austrália,5765459
Alemanha,1810135
Nova Zelândia,1144499
Áustria,989284
Brasil,919746
Grécia,615585
Israel,410233
Hungria,275117
Bulgária,267980
Líbano,251254
Romênia,230182
Eslovênia,196016
Geórgia,132803
Turquia,73488
Moldávia,70166
Montenegro,52890
Rússia,49662
Tunísia,44333
Eslováquia,33988
Peru,33448
Reino Unido,28244
Croácia,22936
Marrocos,22136
Suíça,16532
Ucrânia,10830
Macedônia,10097
México,7821
Armênia,5927
"Tcheca, República",5175
Canada,5051
Bélgica,4553
"Geórgia do Sul e Sandwich do Sul, Ilhas",3626
Sérvia,3471
Países Baixos (Holanda),3211
Arábia Saudita,3081
Emirados Árabes Unidos,2739
Síria,2617
Porto Rico,2143
China,1430
Bósnia-Herzegovina,1218
Bolívia,1170
San Marino,1095
Noruega,401
Suazilândia,320
Hong Kong,311
Indonésia,294
Irlanda,286
Japão,239
Panamá,17
Bermudas,17
Cuba,8
Luxemburgo,5
Republica Dominicana,2
Argélia,0
"Coreia do Sul, República",0
Iugoslávia,0
Não declarados,0
Outros,0
Não consta na tabela,0
