País,price_2009,price_2010,price_2011,price_2012,price_2013,price_2014,price_2015,price_2016,price_2017,price_2018,price_2019,price_2020,price_2021,price_2022,price_2023
Afeganistão,,,,,,,,,,,,,1.0,,
"Alemanha, República Democrática",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Angola,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,
Anguilla,,,,,,,,,,,,,,,
Antilhas Holandesas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
Antígua e Barbuda,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Argentina,1.0,,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0
Aruba,,,1.0,,,1.0,,,,,,,,,
Arábia Saudita,,,,,,,,,,,,,,,1.0
Austrália,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bahamas,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Bangladesh,,,,,,,,,,,,1.0,1.0,1.0,
Barbados,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
Barein,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
Belice,,,,,,,,,,,1.0,,,,
Benin,,,,,,,,1.0,,,1.0,,,,
Bermudas,,,,,,,,,,,,,,,1.0
Bolívia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
Brasil,,,,,,,,,,,,,1.0,1.0,
Bulgária,,,,,,,,,1.0,,,,,1.0,
Bélgica,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bósnia-Herzegovina,,,,,,,,,,,,1.0,,,
Cabo Verde,,1.0,1.0,,,,,,,1.0,,,1.0,,
Camarões,,,,,,,,,1.0,,,,,,
Canadá,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Catar,,,,,,,,,1.0,,,,1.0,,1.0
"Cayman, Ilhas",,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Chile,1.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0
China,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Chipre,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Cingapura,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,
"Cocos (Keeling), Ilhas",,,,,,,,,,,,,,1.0,
Colômbia,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Comores,,,,,,,,,,,,1.0,,,
Congo,,,1.0,,,,,,,,,,,,1.0
"Coreia, Republica Sul",,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
Costa Rica,,,,,,,,,,,,,,,
Costa do Marfim,,,,,,,,,,,,,,,
Croácia,,,,,,,,,,,,1.0,,1.0,
Cuba,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,
Curaçao,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dinamarca,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
Dominica,,,,,,,,,,,,,1.0,1.0,
El Salvador,1.0,,,,,,,,,,,,,,
Emirados Arabes Unidos,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Equador,,,,,,,,,,,1.0,1.0,,1.0,1.0
"Eslovaca, Republica",,,,,,,,,,,,,,,
Espanha,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0
Estados Unidos,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Estônia,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,
Filipinas,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Finlândia,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0
França,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gana,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Gibraltar,,,,,,,,,,,1.0,1.0,,,
Granada,,,,,,,,,,,,,,1.0,
Grécia,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Guatemala,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0
Guiana,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0
Guiana Francesa,,,,,,,,,,,,,1.0,1.0,
Guine Bissau,,,,,,,,,1.0,,,,,,
Guine Equatorial,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,
Haiti,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Honduras,1.0,,,,,,,,,,,,,,
Hong Kong,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hungria,,1.0,,,,,,,,,,,1.0,,
Ilha de Man,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
Ilhas Virgens,,,,,,,,,,,,,,,
India,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
Indonésia,,,,,,,,,,,,1.0,,,1.0
Iraque,,,,,,,,,,,,,,,
Irlanda,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,1.0
Irã,,,,,,,,,,,,1.0,1.0,1.0,
Itália,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jamaica,,,,,,,,,,,,,,,
Japão,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jordânia,,,,,,,,,,,,1.0,,,
Letônia,,,,,,,,,1.0,,,,,,1.0
