País,Coeficiente_Angular,Coeficiente_Linear,Equacao_Linear
Africa do Sul,11679.707142857147,-22791995.60000001,y = 11679.71x + -22791995.60
Alemanha,-2275.371428571428,4707824.466666666,y = -2275.37x + 4707824.47
Argélia,0.0,0.0,y = 0.00x + 0.00
Arábia Saudita,49.04285714285713,-98664.99999999999,y = 49.04x + -98665.00
Argentina,881032.2785714285,-1758503900.6666665,y = 881032.28x + -1758503900.67
Armênia,139.65714285714284,-281153.6666666666,y = 139.66x + -281153.67
Austrália,-13710.060714285715,28023846.333333336,y = -13710.06x + 28023846.33
Áustria,7368.521428571429,-14788986.933333334,y = 7368.52x + -14788986.93
Bermudas,0.3499999999999999,-704.4666666666665,y = 0.35x + -704.47
Bélgica,16.86785714285715,-33702.06666666668,y = 16.87x + -33702.07
Bolívia,29.25,-58890.0,y = 29.25x + -58890.00
Bósnia-Herzegovina,17.400000000000002,-34997.200000000004,y = 17.40x + -34997.20
Brasil,3875.721428571427,-7752137.999999997,y = 3875.72x + -7752138.00
Bulgária,2245.585714285714,-4509235.466666666,y = 2245.59x + -4509235.47
Canada,-30.950000000000003,62731.933333333334,y = -30.95x + 62731.93
Chile,3707769.246428571,-7429606682.866666,y = 3707769.25x + -7429606682.87
China,7.003571428571428,-14023.866666666665,y = 7.00x + -14023.87
"Coreia do Sul, República",0.0,0.0,y = 0.00x + 0.00
Croácia,336.7749999999999,-677409.3333333331,y = 336.77x + -677409.33
Cuba,0.2,-402.6666666666667,y = 0.20x + -402.67
Emirados Árabes Unidos,-2.139285714285713,4495.399999999998,y = -2.14x + 4495.40
Eslovênia,2666.1142857142854,-5361818.666666666,y = 2666.11x + -5361818.67
Eslováquia,158.57500000000002,-317421.3333333334,y = 158.58x + -317421.33
Espanha,496225.9821428571,-995894005.3333333,y = 496225.98x + -995894005.33
Estados Unidos,11070.51428571428,-21797899.333333325,y = 11070.51x + -21797899.33
França,233702.95357142852,-466905143.33333325,y = 233702.95x + -466905143.33
Geórgia,1259.3035714285713,-2529902.466666667,y = 1259.30x + -2529902.47
"Geórgia do Sul e Sandwich do Sul, Ilhas",71.13571428571427,-143167.86666666664,y = 71.14x + -143167.87
Grécia,-1279.964285714286,2621447.0000000005,y = -1279.96x + 2621447.00
Hong Kong,4.442857142857143,-8936.066666666668,y = 4.44x + -8936.07
Hungria,1407.0428571428572,-2818257.2666666666,y = 1407.04x + -2818257.27
Indonésia,3.021428571428571,-6071.5999999999985,y = 3.02x + -6071.60
Irlanda,2.682142857142857,-5388.133333333333,y = 2.68x + -5388.13
Israel,2881.5428571428565,-5781841.533333332,y = 2881.54x + -5781841.53
Itália,-18685.532142857162,47490241.60000004,y = -18685.53x + 47490241.60
Japão,3.7892857142857137,-7623.2666666666655,y = 3.79x + -7623.27
Iugoslávia,0.0,0.0,y = 0.00x + 0.00
Líbano,731.0714285714286,-1457089.7333333334,y = 731.07x + -1457089.73
Luxemburgo,0.035714285714285705,-71.66666666666666,y = 0.04x + -71.67
Macedônia,225.425,-453783.6666666667,y = 225.43x + -453783.67
Marrocos,373.49285714285713,-751485.8666666667,y = 373.49x + -751485.87
México,-141.66428571428568,286116.6,y = -141.66x + 286116.60
Moldávia,1369.0499999999995,-2755327.0666666655,y = 1369.05x + -2755327.07
Montenegro,1297.95,-2613141.2,y = 1297.95x + -2613141.20
Noruega,0.017857142857142846,-9.266666666666644,y = 0.02x + -9.27
Nova Zelândia,-4063.742857142856,8268805.533333331,y = -4063.74x + 8268805.53
Países Baixos (Holanda),41.68214285714286,-83817.13333333333,y = 41.68x + -83817.13
Panamá,0.18214285714285713,-366.06666666666666,y = 0.18x + -366.07
Peru,666.6142857142856,-1341664.5333333332,y = 666.61x + -1341664.53
Porto Rico,51.857142857142854,-104401.13333333333,y = 51.86x + -104401.13
Portugal,1517674.4642857139,-3044711746.266666,y = 1517674.46x + -3044711746.27
Reino Unido,-64.20714285714283,131324.53333333327,y = -64.21x + 131324.53
Republica Dominicana,0.014285714285714284,-28.666666666666664,y = 0.01x + -28.67
Romênia,2669.157142857143,-5365675.333333333,y = 2669.16x + -5365675.33
Rússia,699.5035714285714,-1406888.4,y = 699.50x + -1406888.40
San Marino,19.553571428571423,-39346.99999999999,y = 19.55x + -39347.00
Sérvia,61.982142857142854,-124724.6,y = 61.98x + -124724.60
Síria,40.37499999999999,-81221.53333333333,y = 40.37x + -81221.53
Suazilândia,8.0,-16106.666666666666,y = 8.00x + -16106.67
Suíça,-62.5678571428572,127238.93333333345,y = -62.57x + 127238.93
"Tcheca, República",110.08928571428571,-221595.0,y = 110.09x + -221595.00
Tunísia,-663.4,1340369.9333333333,y = -663.40x + 1340369.93
Turquia,620.3892857142855,-1245805.5999999996,y = 620.39x + -1245805.60
Ucrânia,52.86785714285713,-105859.59999999998,y = 52.87x + -105859.60
Uruguai,224299.91071428568,-449816981.59999996,y = 224299.91x + -449816981.60
Não consta na tabela,0.0,0.0,y = 0.00x + 0.00
Não declarados,0.0,0.0,y = 0.00x + 0.00
Outros,0.0,0.0,y = 0.00x + 0.00
