País,Coeficiente_Angular,Coeficiente_Linear,Equacao_Linear
Africa do Sul,-23977.721428571418,50941781.799999975,y = -23977.72x + 50941781.80
Alemanha,-8834.60357142857,18327671.53333333,y = -8834.60x + 18327671.53
Argélia,5.3078812870950004e-17,2.8666666666665597,y = 0.00x + 2.87
Arábia Saudita,183.67857142857144,-369481.7333333334,y = 183.68x + -369481.73
Argentina,2475842.432142858,-4932758886.000002,y = 2475842.43x + -4932758886.00
Armênia,901.2857142857141,-1814458.3999999994,y = 901.29x + -1814458.40
Austrália,-53530.76785714284,109349927.79999997,y = -53530.77x + 109349927.80
Áustria,14892.407142857144,-29851843.06666667,y = 14892.41x + -29851843.07
Bermudas,24.57857142857143,-49482.13333333333,y = 24.58x + -49482.13
Bélgica,170.40357142857147,-340364.1333333334,y = 170.40x + -340364.13
Bolívia,273.0,-549640.0,y = 273.00x + -549640.00
Bósnia-Herzegovina,12.885714285714286,-25917.466666666667,y = 12.89x + -25917.47
Brasil,7266.189285714286,-14593364.733333332,y = 7266.19x + -14593364.73
Bulgária,3671.667857142858,-7357340.800000002,y = 3671.67x + -7357340.80
Canada,-411.3,835252.6000000001,y = -411.30x + 835252.60
Chile,8988117.614285711,-17993606566.33333,y = 8988117.61x + -17993606566.33
China,31.896428571428572,-64052.8,y = 31.90x + -64052.80
"Coreia do Sul, República",0.0,0.0,y = 0.00x + 0.00
Croácia,1960.5892857142858,-3941927.0,y = 1960.59x + -3941927.00
Cuba,6.525000000000001,-13137.000000000004,y = 6.53x + -13137.00
Emirados Árabes Unidos,-44.17499999999996,92171.46666666659,y = -44.17x + 92171.47
Eslovênia,9399.896428571426,-18895704.33333333,y = 9399.90x + -18895704.33
Eslováquia,393.51428571428556,-787337.8666666663,y = 393.51x + -787337.87
Espanha,984372.2678571426,-1969494974.7333329,y = 984372.27x + -1969494974.73
Estados Unidos,68486.3857142857,-135509424.86666664,y = 68486.39x + -135509424.87
França,687778.5035714285,-1363141320.8666666,y = 687778.50x + -1363141320.87
Geórgia,1655.3285714285712,-3315296.066666666,y = 1655.33x + -3315296.07
"Geórgia do Sul e Sandwich do Sul, Ilhas",111.98928571428569,-225389.59999999995,y = 111.99x + -225389.60
Grécia,-9965.364285714282,20252006.066666663,y = -9965.36x + 20252006.07
Hong Kong,39.657142857142844,-79763.73333333331,y = 39.66x + -79763.73
Hungria,2342.214285714286,-4578376.4,y = 2342.21x + -4578376.40
Indonésia,17.18571428571429,-34531.93333333334,y = 17.19x + -34531.93
Irlanda,25.08214285714285,-50385.46666666665,y = 25.08x + -50385.47
Israel,14129.482142857143,-28362793.333333332,y = 14129.48x + -28362793.33
Itália,572364.7178571428,-1122494125.9999998,y = 572364.72x + -1122494126.00
Japão,100.98571428571427,-203263.46666666662,y = 100.99x + -203263.47
Iugoslávia,0.0,0.0,y = 0.00x + 0.00
Líbano,2234.6678571428574,-4395598.466666667,y = 2234.67x + -4395598.47
Luxemburgo,0.30000000000000004,-599.1333333333334,y = 0.30x + -599.13
Macedônia,435.1142857142857,-875954.2000000001,y = 435.11x + -875954.20
Marrocos,1369.5749999999998,-2754404.5999999996,y = 1369.57x + -2754404.60
México,-1313.4642857142858,2652516.933333333,y = -1313.46x + 2652516.93
Moldávia,2821.2571428571428,-5677939.266666666,y = 2821.26x + -5677939.27
Montenegro,3526.8107142857143,-7100438.333333334,y = 3526.81x + -7100438.33
Noruega,0.09642857142857163,-175.73333333333375,y = 0.10x + -175.73
Nova Zelândia,-47355.207142857136,96061418.93333332,y = -47355.21x + 96061418.93
Países Baixos (Holanda),456.3107142857143,-917428.8666666667,y = 456.31x + -917428.87
Panamá,1.0285714285714285,-2067.2,y = 1.03x + -2067.20
Peru,3216.142857142857,-6473626.866666665,y = 3216.14x + -6473626.87
Porto Rico,131.71428571428572,-265130.0,y = 131.71x + -265130.00
Portugal,3448827.624999999,-6906985027.466664,y = 3448827.62x + -6906985027.47
Reino Unido,201.7107142857142,-386295.86666666646,y = 201.71x + -386295.87
Republica Dominicana,0.09285714285714282,-183.4666666666666,y = 0.09x + -183.47
Romênia,6427.2071428571435,-12921535.733333334,y = 6427.21x + -12921535.73
Rússia,1631.5892857142853,-3280543.466666666,y = 1631.59x + -3280543.47
San Marino,39.94642857142857,-80382.86666666667,y = 39.95x + -80382.87
Sérvia,148.25,-298318.5333333333,y = 148.25x + -298318.53
Síria,139.34999999999997,-280453.2666666666,y = 139.35x + -280453.27
Suazilândia,174.2,-350722.6666666666,y = 174.20x + -350722.67
Suíça,2838.3250000000007,-5708135.000000001,y = 2838.33x + -5708135.00
"Tcheca, República",356.8,-718137.3333333334,y = 356.80x + -718137.33
Tunísia,-1506.4571428571428,3043771.066666667,y = -1506.46x + 3043771.07
Turquia,1235.025,-2476154.266666667,y = 1235.03x + -2476154.27
Ucrânia,36.26071428571427,-72189.33333333331,y = 36.26x + -72189.33
Uruguai,627189.4499999998,-1258244013.933333,y = 627189.45x + -1258244013.93
Não consta na tabela,0.0,0.0,y = 0.00x + 0.00
Não declarados,0.0,0.0,y = 0.00x + 0.00
Outros,0.0,0.0,y = 0.00x + 0.00
